#,Bit Range,Private Key Range,Private Key (HEX),Bitcoin Address,% of the Range,Solved,Solver
62,261...262-1,2000000000000000...3fffffffffffffff,,1Me6EfpwZK5kQziBwBfvLiHjaPGxCKLoJi,,,
62,261...262-1,2000000000000000...3fffffffffffffff,,1Me6EfpwZK5kQziBwBfvLiHjaPGxCKLoJi,,,
62,261...262-1,2000000000000000...3fffffffffffffff,,1Me6EfpwZK5kQziBwBfvLiHjaPGxCKLoJi,,,
63,262...263-1,4000000000000000...7fffffffffffffff,,1NpYjtLira16LfGbGwZJ5JbDPh3ai9bjf4,,,
63,262...263-1,4000000000000000...7fffffffffffffff,,1NpYjtLira16LfGbGwZJ5JbDPh3ai9bjf4,,,
63,262...263-1,4000000000000000...7fffffffffffffff,,1NpYjtLira16LfGbGwZJ5JbDPh3ai9bjf4,,,
63,262...263-1,4000000000000000...7fffffffffffffff,,1NpYjtLira16LfGbGwZJ5JbDPh3ai9bjf4,,,
64,263...264-1,8000000000000000...ffffffffffffffff,,16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN,,,
64,263...264-1,8000000000000000...ffffffffffffffff,,16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN,,,
64,263...264-1,8000000000000000...ffffffffffffffff,,16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN,,,
64,263...264-1,8000000000000000...ffffffffffffffff,,16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN,,,
65,264...265-1,10000000000000000...1ffffffffffffffff,,18ZMbwUFLMHoZBbfpCjUJQTCMCbktshgpe,,,
65,264...265-1,10000000000000000...1ffffffffffffffff,,18ZMbwUFLMHoZBbfpCjUJQTCMCbktshgpe,,,
65,264...265-1,10000000000000000...1ffffffffffffffff,,18ZMbwUFLMHoZBbfpCjUJQTCMCbktshgpe,,,
65,264...265-1,10000000000000000...1ffffffffffffffff,,18ZMbwUFLMHoZBbfpCjUJQTCMCbktshgpe,,,
66,265...266-1,20000000000000000...3ffffffffffffffff,,,,,
7,26...27-1,40...7f,,1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC,,,
7,26...27-1,40...7f,,1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC,,,
7,26...27-1,40...7f,,1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC,,,
7,26...27-1,40...7f,,1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC,,,
8,27...28-1,80...ff,,1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK,,,
8,27...28-1,80...ff,,1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK,,,
8,27...28-1,80...ff,,1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK,,,
8,27...28-1,80...ff,,1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK,,,
9,28...29-1,100...1ff,,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV,,,
9,28...29-1,100...1ff,,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV,,,
9,28...29-1,100...1ff,,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV,,,
9,28...29-1,100...1ff,,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV,,,
